! Here is pointing data from 1/13/2003

! MMT pointing data in tpoint format 4
! Next follows the header record. (Tpoint manual p. 23)
!	(TPOINT run parameters record)
! First 3 numbers are latitude (deg,min,sec)
! The next 3 are UTC date (year, month, day)
! The next 2 are Temp and Pressure
! The last 2 are Elevation and Rel. Humidity
!
!		30 degrees F => -1 Celcius ?
!		547 mm of mercury => 727  mB ?
! 
MMT pointing data  3-20-2003
+31 41 19.6 2003 03 20 -1.1  727  2608.0 0.90

! These data are observed AZ/EL followed by Raw AZ/EL
! transformed AZ into tpoint convention (South = 0, East=90)

-33.5004672 80.6653350 -33.2012469 80.6706563
-33.5787986 80.6578180 -33.279532 80.6631368
-35.6332436 24.0317133 -35.3042383 24.0379591
-80.2794247 46.4303690 -79.950019 46.4370951
-86.475399 18.3330262 -86.1435347 18.3363723
-86.4803106 18.3253804 -86.1484462 18.3287242
-18.7693858 47.9387319 -18.4443092 47.9469193
-4.60450549999999 22.2690631 -4.2751806 22.2758876
33.2037652 33.4951549 33.5307113 33.5064921
39.0787496 69.7801110 39.3933753 69.7914847
39.0654321 69.7832222 39.3800541 69.7945954
4.37921539999999 45.9480029 4.70417900000001 45.9574011
71.2865075 23.2702867 71.6155513 23.2823480
68.4382601 48.5549078 68.7637334 48.5684052
22.3053613 80.8285615 22.5958384 80.8379744
101.4061561 63.9894232 101.7317476 64.0030009
102.0851215 29.8823959 102.4148471 29.8959925
125.0738143 17.5190913 125.4062931 17.5298710
133.1564109 43.8750847 133.4871325 43.8892818
162.8867972 22.9230152 163.2190695 22.9343677
171.9247717 51.5742944 172.2568992 51.5864295
156.6498917 80.4105196 156.9797318 80.4224426
156.6784438 80.4128273 157.0082886 80.4247493
193.9878622 56.7398456 -165.6795445 56.7497388
182.8200603 19.6882167 -176.8473395 19.6971103
207.4690121 21.5152952 -152.1982787 21.5234188
222.6476084 35.6056604 -137.020877 35.6144234
248.7493525 22.0818667 -110.9192175 22.0872678
263.2337578 39.9064736 -96.4354267 39.9128093
255.4542441 71.0570693 -104.2159788 71.0625609
222.9274792 82.9319644 -136.7381213 82.9380892
195.8527951 50.5864669 -163.814739 50.5954733
162.0494638 24.1524497 162.3805509 24.1632315
102.2210319 43.5382566 102.5491933 43.5518557
102.2206824 43.5390868 102.5488437 43.5526859
7.76184979999999 25.9354805 8.08957699999999 25.9435473
